episode,total_reward,episode_steps,actor_loss_mean,actor_loss_std,actor_loss_min,actor_loss_max,critic_loss_mean,critic_loss_std,critic_loss_min,critic_loss_max,td_error_mean,td_error_abs_mean,td_error_std,td_error_min,td_error_max,advantage_mean,advantage_abs_mean,advantage_std,advantage_min,advantage_max,entropy_mean_mean,entropy_mean_std,value_mean,value_min,value_max,next_value_mean,next_value_min,next_value_max,target_mean,target_min,target_max
0,-147.0,11,-0.0912889763712883,0.19155104458332062,-0.6727513670921326,0.06960795074701309,0.04475570097565651,0.12883427739143372,3.1625265819457127e-06,0.452022910118103,-0.12058134377002716,0.1579572856426239,0.2738093435764313,-0.9508132338523865,0.11182672530412674,-0.12058134377002716,0.1579572856426239,0.2738093435764313,-0.9508132338523865,0.11182672530412674,0.6931337714195251,1.1771001481974963e-05,-0.07970542460680008,-0.14669817686080933,-0.005187556613236666,-0.06871175765991211,-0.13634006679058075,0.0,-0.20028677582740784,-1.0,0.0013361768797039986
1,-155.0,13,-0.08132905513048172,0.16071683168411255,-0.6195334792137146,0.015619715675711632,0.034084055572748184,0.10851911455392838,0.00012771124602295458,0.4097789525985718,-0.10858968645334244,0.12452991306781769,0.23743711411952972,-0.9052943587303162,0.03205905854701996,-0.10858968645334244,0.12452991306781769,0.23743711411952972,-0.9052943587303162,0.03205905854701996,0.6930555105209351,0.00010011794802267104,-0.11908198893070221,-0.2043766975402832,-0.027475949376821518,-0.11179477721452713,-0.19939833879470825,0.0,-0.22767169773578644,-1.0,-0.023977065458893776
2,-153.0,10,-0.09378395974636078,0.1843346357345581,-0.6178810596466064,0.08283097296953201,0.04153307154774666,0.11026769876480103,1.308886658080155e-05,0.3718358278274536,-0.12210454046726227,0.1561167985200882,0.2610682249069214,-0.8623639941215515,0.13403594493865967,-0.12210454046726227,0.1561167985200882,0.2610682249069214,-0.8623639941215515,0.13403594493865967,0.6930127143859863,0.00011619947326835245,-0.19090893864631653,-0.2550603151321411,-0.07928282022476196,-0.16496232151985168,-0.249718576669693,0.0,-0.31301349401474,-1.0,-0.08439923822879791
3,-140.0,9,-0.10040163993835449,0.18383009731769562,-0.5968132019042969,0.04559194669127464,0.04184608533978462,0.1059868335723877,1.1453466868260875e-05,0.3413156270980835,-0.1311631202697754,0.15955215692520142,0.2578534781932831,-0.8262150287628174,0.07573725283145905,-0.1311631202697754,0.15955215692520142,0.2578534781932831,-0.8262150287628174,0.07573725283145905,0.6928890943527222,0.00020794256124645472,-0.20938152074813843,-0.28917020559310913,-0.12393835186958313,-0.1907104104757309,-0.2843817174434662,0.0,-0.3405446410179138,-1.0,-0.07956771552562714
4,-142.0,10,-0.0887930765748024,0.17844367027282715,-0.5725057125091553,0.09053320437669754,0.037300605326890945,0.08992160856723785,0.00019240206165704876,0.3055618405342102,-0.11323712766170502,0.16194774210453033,0.24855291843414307,-0.7817440032958984,0.14438386261463165,-0.11323712766170502,0.16194774210453033,0.24855291843414307,-0.7817440032958984,0.14438386261463165,0.6925994753837585,0.00038629607297480106,-0.2662695646286011,-0.3386637568473816,-0.13826237618923187,-0.24485225975513458,-0.33489343523979187,0.0,-0.3795066773891449,-1.0,-0.15820430219173431
5,-147.0,9,-0.09357423335313797,0.15503369271755219,-0.49420037865638733,0.08497381210327148,0.036236975342035294,0.08532147854566574,0.0002224896161351353,0.2764509320259094,-0.1270105242729187,0.1636824905872345,0.237365260720253,-0.7435737252235413,0.14392927289009094,-0.1270105242729187,0.1636824905872345,0.237365260720253,-0.7435737252235413,0.14392927289009094,0.6923377513885498,0.0006419781129807234,-0.27815356850624084,-0.37999722361564636,-0.17375048995018005,-0.24931007623672485,-0.3744475841522217,0.0,-0.40516412258148193,-1.0,-0.23606795072555542
6,-135.0,10,-0.06980399042367935,0.1595621556043625,-0.47179850935935974,0.12154951691627502,0.03357895836234093,0.07426553964614868,0.00013719779963139445,0.2534264624118805,-0.09133796393871307,0.16751988232135773,0.24251864850521088,-0.7119360566139221,0.20258504152297974,-0.09133796393871307,0.16751988232135773,0.24251864850521088,-0.7119360566139221,0.20258504152297974,0.6925056576728821,0.0004975183983333409,-0.2616031765937805,-0.4040578007698059,-0.20883876085281372,-0.22468158602714539,-0.40115946531295776,0.0,-0.3529411256313324,-1.0,-0.16479477286338806
7,-122.0,9,-0.06391872465610504,0.16515780985355377,-0.45704951882362366,0.09170933067798615,0.034177184104919434,0.07325150072574615,0.00012307330325711519,0.2366253137588501,-0.08371207118034363,0.15787559747695923,0.24768255650997162,-0.6879321336746216,0.1410594880580902,-0.08371207118034363,0.15787559747695923,0.24768255650997162,-0.6879321336746216,0.1410594880580902,0.6919480562210083,0.0008855260093696415,-0.33607882261276245,-0.4212043583393097,-0.18908420205116272,-0.2930261194705963,-0.41923925280570984,0.0,-0.4197908937931061,-1.0,-0.14424225687980652
8,-134.0,10,-0.07082559168338776,0.1635843813419342,-0.49258098006248474,0.07882963120937347,0.029139971360564232,0.06556203961372375,0.00013123602548148483,0.22057192027568817,-0.08441281318664551,0.143755704164505,0.22617343068122864,-0.6641865968704224,0.1308203488588333,-0.08441281318664551,0.143755704164505,0.22617343068122864,-0.6641865968704224,0.1308203488588333,0.6919153928756714,0.0007992774480953813,-0.3426077365875244,-0.4442391097545624,-0.20669960975646973,-0.3020830452442169,-0.44072425365448,0.0,-0.4270205497741699,-1.0,-0.1890210062265396
9,-141.0,10,-0.07156083732843399,0.13390715420246124,-0.39078953862190247,0.08137357234954834,0.024502960965037346,0.05288228765130043,1.9397318737901514e-06,0.17608106136322021,-0.09312725067138672,0.13035260140895844,0.2008313685655594,-0.5934324860572815,0.1251806616783142,-0.09312725067138672,0.13035260140895844,0.2008313685655594,-0.5934324860572815,0.1251806616783142,0.6913539171218872,0.0011442424729466438,-0.40160471200942993,-0.4853914678096771,-0.2321399599313736,-0.36467212438583374,-0.48179054260253906,0.0,-0.49473196268081665,-1.0,-0.18420398235321045
10,-120.0,8,-0.07804542034864426,0.15467514097690582,-0.4035648703575134,0.0815451443195343,0.032606735825538635,0.06070178002119064,0.0003131912089884281,0.18680572509765625,-0.1013406291604042,0.17133060097694397,0.23440039157867432,-0.611237645149231,0.14459052681922913,-0.1013406291604042,0.17133060097694397,0.23440039157867432,-0.611237645149231,0.14459052681922913,0.691207766532898,0.0015769503079354763,-0.40529048442840576,-0.5100233554840088,-0.2635708451271057,-0.36766090989112854,-0.5060046315193176,0.0,-0.5066311359405518,-1.0,-0.21393722295761108
11,-155.0,9,-0.08240991085767746,0.12198558449745178,-0.34562334418296814,0.05093942582607269,0.022410577163100243,0.04324953630566597,9.282716200686991e-05,0.1354886144399643,-0.10790136456489563,0.133560448884964,0.18214952945709229,-0.5205547213554382,0.07837572693824768,-0.10790136456489563,0.133560448884964,0.18214952945709229,-0.5205547213554382,0.07837572693824768,0.6910329461097717,0.0017045754939317703,-0.4348400831222534,-0.538237452507019,-0.283929705619812,-0.3819785416126251,-0.5331539511680603,0.0,-0.5427414774894714,-1.0,-0.2654118239879608
